#Transcript position	Transcript coverage profile
0.0	0.2827127613951256
1.0	0.1693809948464701
2.0	0.13615136866078656
3.0	0.07990678691017865
4.0	0.09842532567515207
5.0	0.13894038433964556
6.0	0.08230865037144203
7.0	0.11300314751508768
8.0	0.1778779695208482
9.0	0.12866360092523746
10.0	0.09332875433828153
11.0	0.07712199523054371
12.0	0.05473791471390556
13.0	0.0594160584647043
14.0	0.09727187843713052
15.0	0.027467360498733672
16.0	0.0420992447241703
17.0	0.05523310143036401
18.0	0.06943864382003608
19.0	0.1405367803096226
20.0	0.08239873371910014
21.0	0.0941027040101887
22.0	0.07260586964098863
23.0	0.06115532969361428
24.0	0.05911699512979737
25.0	0.04399724321051402
26.0	0.12773568662083565
27.0	0.08173030626878967
28.0	0.04672042935662935
29.0	0.07615901173967413
30.0	0.06959049736286638
31.0	0.06299863624148094
32.0	0.04839727638864666
33.0	0.08746458749091357
34.0	0.07980563832347201
35.0	0.03088794635234744
36.0	0.031105909189229626
37.0	0.09928124787342422
38.0	0.08010048601487053
39.0	0.08870379597041406
40.0	0.05646134054402408
41.0	0.03331116931032221
42.0	0.07649956828077924
43.0	0.03155484165512578
44.0	0.07486862546006322
45.0	0.08239010943333872
46.0	0.03653280263210475
47.0	0.062184254871080515
48.0	0.09574363787206923
49.0	0.09638634304331249
50.0	0.04474321116095032
51.0	0.06657114384323866
52.0	0.08891563887469774
53.0	0.05307651720978526
54.0	0.0670730062852377
55.0	0.02267313569621415
56.0	0.04962634830260206
57.0	0.07056581336365463
58.0	0.01271180076144486
59.0	0.023600715736429315
60.0	0.05405829615940426
61.0	0.10953093039863968
62.0	0.09592699864161353
63.0	0.09391263999543728
64.0	0.1691515190877814
65.0	0.06676194722189834
66.0	0.04746048624327185
67.0	0.027949662290237813
68.0	0.04406964961297333
69.0	0.06671537713883909
70.0	0.06786128533648049
71.0	0.03279830235392894
72.0	0.09181231975171601
73.0	0.04889733158557042
74.0	0.020927090106773863
75.0	0.05745707413892038
76.0	0.08365482306828848
77.0	0.06019644041244184
78.0	0.05239082511749326
79.0	0.059921285686553166
80.0	0.04590017654473959
81.0	0.06172226399773437
82.0	0.06372444254655256
83.0	0.07732847610593954
84.0	0.053113399223793684
85.0	0.067881888064097
86.0	0.0542298292165351
87.0	0.0956045513338017
88.0	0.03819506330932686
89.0	0.047437934676623814
90.0	0.03743569567267159
91.0	0.04683906246974097
92.0	0.06702646706029687
93.0	0.07739819150850112
94.0	0.047786937019044774
95.0	0.100155256152341
96.0	0.07901540847493578
97.0	0.066954768544888
98.0	0.10298397468390937
99.0	0.04732953351661069
