-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	4335
-150	-145	44924
-145	-140	45370
-140	-135	45629
-135	-130	44641
-130	-125	43532
-125	-120	42486
-120	-115	40521
-115	-110	38458
-110	-105	35787
-105	-100	33560
-100	-95	30552
-95	-90	28625
-90	-85	26011
-85	-80	24377
-80	-75	21666
-75	-70	20462
-70	-65	18225
-65	-60	17250
-60	-55	15804
-55	-50	15317
-50	-45	14228
-45	-40	13453
-40	-35	12804
-35	-30	12283
-30	-25	11713
-25	-20	11073
-20	-15	10752
-15	-10	10280
-10	-5	9992
-5	0	10128
0	5	9392
5	10	8785
10	15	8610
15	20	7990
20	25	7862
25	30	7342
30	35	6994
35	40	6669
40	45	6407
45	50	6217
50	55	5978
55	60	5529
60	65	5609
65	70	5154
70	75	4935
75	80	4785
80	85	4528
85	90	4441
90	95	4126
95	100	3991
100	105	3925
105	110	3729
110	115	3672
115	120	3238
120	125	3207
125	130	3152
130	135	2984
135	140	2861
140	145	2727
145	150	2588
150	155	2549
155	160	2555
160	165	2341
165	170	2310
170	175	2205
175	180	2226
180	185	2011
185	190	1946
190	195	1891
195	200	1770
200	205	1732
205	210	1705
210	215	1576
215	220	1615
220	225	1525
225	230	1413
230	235	1329
235	240	1445
240	245	1260
245	250	1261
