,gene_id,gene_name,EntrezGene,logFC,logCPM,LR,PValue,FDR,topDE
4778,ENSMUSG00000024965,Fermt3,108101,1.811271663,0.88654779,11.64740432,0.000642922,0.015946983,Up
16790,ENSMUSG00000059412,Fxyd2,11936,-1.700861083,2.128627392,11.64273719,0.000644537,0.015955757,Down
8097,ENSMUSG00000030935,Acsm3,20216,1.643888557,4.60282847,11.61844913,0.000653008,0.016133896,Up
10223,ENSMUSG00000036067,Slc2a6,227659,-1.630960174,6.639502464,11.5861633,0.000664444,0.016384427,Down
6777,ENSMUSG00000028602,Tnfrsf8,21941,1.687679672,2.435920019,11.57270756,0.000669269,0.016471308,Up
16068,ENSMUSG00000056091,St3gal5,20454,1.850547028,0.555070247,11.56712452,0.000671281,0.016488758,Up
3927,ENSMUSG00000022848,Slc49a4,224132,1.630800596,6.093703146,11.55973603,0.000673954,0.016522327,Up
15742,ENSMUSG00000054580,Pla2r1,18779,1.819552617,0.7577105,11.54967928,0.000677609,0.016579806,Up
1449,ENSMUSG00000013766,Ly6g6e,70274,-1.737099575,1.309005407,11.44619107,0.000716407,0.017495267,Down
5283,ENSMUSG00000025978,Rftn2,74013,1.796729158,0.8431798,11.41523793,0.000728442,0.017754889,Up
17472,ENSMUSG00000062515,Fabp4,11770,-1.653566213,2.785369723,11.35297802,0.000753271,0.018324762,Down
6168,ENSMUSG00000027525,Phactr3,74189,-1.797759147,0.643471325,11.34436454,0.000756773,0.018374613,Down
1845,ENSMUSG00000017754,Pltp,18830,1.846724722,0.425812557,11.29251993,0.0007782,0.018858674,Up
3972,ENSMUSG00000022938,Fam3b,52793,-1.656470945,2.494686199,11.26769387,0.000788676,0.019064558,Down
11647,ENSMUSG00000039763,Dnajc28,246738,1.659093066,2.550607052,11.26526338,0.00078971,0.019064558,Up
14576,ENSMUSG00000049670,Morn4,226123,-1.686934624,1.808733468,11.25375659,0.00079462,0.019146566,Down
9927,ENSMUSG00000035165,Kcne3,57442,1.615332448,4.456176005,11.21937655,0.000809477,0.019467456,Up
22007,ENSMUSG00000078566,Bnip3,12176,-1.605589368,5.700686775,11.20917116,0.000813941,0.019537665,Down
14796,ENSMUSG00000050520,Cldn8,54420,1.610679493,4.833799356,11.2023821,0.000816924,0.019572136,Up
11335,ENSMUSG00000038963,Slco4a1,108115,1.600671965,7.558326698,11.19623925,0.000819633,0.019599915,Up
11238,ENSMUSG00000038702,Dsel,319901,1.64476374,2.786819061,11.18781395,0.000823363,0.019651964,Up
21912,ENSMUSG00000078234,Klhdc7a,242721,1.6007769,6.358462899,11.16826638,0.000832083,0.019822703,Up
4989,ENSMUSG00000025352,Gdf11,14561,-1.657605452,2.248205075,11.15916245,0.000836177,0.019882772,Down
8201,ENSMUSG00000031169,Porcn,53627,1.610245145,4.415533759,11.14683016,0.000841754,0.019977835,Up
30216,ENSMUSG00000091649,Phf11b,236451,-1.776759707,0.630224488,11.08320978,0.000871129,0.020636291,Down
54684,ENSMUSG00000121499,Ly6a2,546643,1.843198714,0.328421248,11.07219577,0.000876318,0.020720427,Up
4776,ENSMUSG00000024962,Vegfb,22340,-1.597240671,4.866512639,11.04047023,0.000891442,0.021038708,Down
23661,ENSMUSG00000081855,Rpl17-ps5,100042067,1.791945194,0.614681253,11.01156123,0.000905453,0.021329584,Up
2683,ENSMUSG00000020704,Asic2,11418,1.66216268,2.005850802,10.98995422,0.000916071,0.021530246,Up
7761,ENSMUSG00000030313,Dennd5b,320560,1.783383309,0.659850191,10.98731598,0.000917376,0.021530246,Up
448,ENSMUSG00000002602,Axl,26362,1.596709891,4.422662542,10.97027072,0.000925852,0.021688948,Up
17724,ENSMUSG00000063652,Slc22a21,56517,1.719011666,1.192498076,10.95771663,0.000932146,0.021792272,Up
9417,ENSMUSG00000033721,Vav3,57257,1.614312643,3.234039857,10.95446456,0.000933784,0.021792272,Up
15826,ENSMUSG00000054958,Nt5c1a,230718,-1.628579596,2.584676721,10.95119809,0.000935431,0.021792272,Down
9891,ENSMUSG00000035042,Ccl5,20304,-1.644115772,2.138322287,10.9286565,0.000946881,0.022018473,Down
14162,ENSMUSG00000048087,Ahcyl,11615,1.672521123,1.6901199,10.88198694,0.00097104,0.022538823,Up
13924,ENSMUSG00000047238,Mageh1,75625,1.589649795,4.234282464,10.85163019,0.000987088,0.022869352,Up
10844,ENSMUSG00000037813,D630003M21Rik,228846,-1.770034009,0.490475633,10.79671213,0.001016805,0.023514784,Down
13395,ENSMUSG00000045333,Zfp423,94187,1.762723427,0.680210854,10.78793323,0.001021639,0.023583452,Up
221,ENSMUSG00000001248,Gramd1a,52857,1.579159928,4.766192615,10.78182807,0.001025014,0.023618264,Up
11085,ENSMUSG00000038354,Ankrd35,213121,-1.644740918,1.866938116,10.77043182,0.001031344,0.023720922,Down
6257,ENSMUSG00000027692,Tnik,665113,1.620424379,2.521489706,10.76236354,0.00103585,0.023781315,Up
35147,ENSMUSG00000100094,1810008I18Rik,100503969,1.611225043,2.769400688,10.75421411,0.001040421,0.023832431,Up
9936,ENSMUSG00000035184,Fam124a,629059,1.600780128,3.13653243,10.75168421,0.001041845,0.023832431,Up
19178,ENSMUSG00000068551,Zfp467,68910,1.597676937,3.227198683,10.73958235,0.00104868,0.023945491,Up
16661,ENSMUSG00000058838,Rps27a-ps2,619900,1.63097756,2.162402635,10.70368369,0.001069224,0.024370608,Up
7395,ENSMUSG00000029602,Rasal1,19415,1.57100924,4.783434815,10.67775614,0.001084315,0.024670119,Up
3531,ENSMUSG00000022199,Slc22a17,59049,1.606442088,2.6775169,10.6565243,0.001096833,0.024910124,Up
11228,ENSMUSG00000038679,Trps1,83925,1.618680707,2.310563959,10.63501587,0.001109663,0.025156346,Up
2754,ENSMUSG00000020826,Nos2,18126,-1.559929099,5.234984692,10.58198093,0.001141952,0.025842034,Down
12744,ENSMUSG00000042985,Upk3b,100647,1.795084561,0.338250683,10.57659458,0.001145284,0.025842447,Up
222,ENSMUSG00000001249,Hpn,15451,1.560944293,5.040728187,10.57118153,0.001148643,0.025842447,Up
27920,ENSMUSG00000087141,Plcxd2,433022,1.583210589,3.276995471,10.57000183,0.001149376,0.025842447,Up
15435,ENSMUSG00000053173,Rpl18-ps2,652986,1.693127323,1.114780855,10.56877031,0.001150142,0.025842447,Up
16094,ENSMUSG00000056214,Pard6g,93737,1.607041416,2.344191874,10.508911,0.001188002,0.02661721,Up
829,ENSMUSG00000005355,Casp14,12365,-1.603490715,2.300833992,10.50762129,0.001188832,0.02661721,Down
10414,ENSMUSG00000036667,Tcaf1,77574,1.558286085,4.270924727,10.45274677,0.001224672,0.027344234,Up
15329,ENSMUSG00000052675,Zfp112,57745,1.753676412,0.526735807,10.45130026,0.001225631,0.027344234,Up
3862,ENSMUSG00000022755,Adgrg7,239853,1.646940251,1.534533749,10.44521048,0.001229679,0.027344234,Up
839,ENSMUSG00000005397,Nid1,18073,1.573117617,3.285558574,10.44480316,0.00122995,0.027344234,Up
15578,ENSMUSG00000053846,Lipg,16891,-1.549359834,4.958684308,10.42528745,0.001243015,0.027586212,Down
11580,ENSMUSG00000039607,Rbms3,207181,1.591064669,2.571975306,10.41979633,0.001246716,0.0276199,Up
3504,ENSMUSG00000022146,Osmr,18414,1.54274402,6.557856447,10.41414256,0.001250539,0.027656152,Up
20591,ENSMUSG00000074472,Zfp872,619310,1.731052858,0.651675496,10.39570636,0.001263087,0.027884899,Up
16083,ENSMUSG00000056162,Cndp1,338403,1.575526193,2.918395957,10.36193908,0.0012864,0.028350107,Up
8743,ENSMUSG00000032064,Dixdc1,330938,1.544612836,4.826538673,10.34219076,0.001300236,0.028605192,Up
11828,ENSMUSG00000040265,Dnm3,103967,1.712522574,0.746265791,10.32634141,0.001311449,0.02880179,Up
99,ENSMUSG00000000567,Sox9,20682,1.536170948,6.069902786,10.31284594,0.001321074,0.028962888,Up
7645,ENSMUSG00000030110,Ret,19713,-1.548973525,3.902700036,10.2973128,0.001332241,0.029157171,Down
14027,ENSMUSG00000047641,Krt87,406219,-1.541100903,4.432620494,10.26940103,0.001352547,0.029483109,Down
16807,ENSMUSG00000059479,B3gnt8,232984,1.667889645,1.10487873,10.26858319,0.001353147,0.029483109,Up
17046,ENSMUSG00000060548,Tnfrsf19,29820,1.534088743,5.659981953,10.26724937,0.001354125,0.029483109,Up
9681,ENSMUSG00000034459,Ifit1,15957,-1.529386297,7.455930281,10.26307232,0.001357195,0.029499164,Down
15999,ENSMUSG00000055799,Tcf7l1,21415,1.738038553,0.510123608,10.25660324,0.001361962,0.02955201,Up
8465,ENSMUSG00000031626,Sorbs2,234214,1.530695954,5.951203769,10.23773994,0.001375961,0.029760011,Up
1479,ENSMUSG00000014303,Glis2,83396,1.55813859,3.208891594,10.23568514,0.001377494,0.029760011,Up
928,ENSMUSG00000005980,Dnase1,13419,1.593574173,2.140497703,10.23419719,0.001378606,0.029760011,Up
20702,ENSMUSG00000074796,Slc4a11,269356,1.568640408,2.714041461,10.20160045,0.001403188,0.030239065,Up
13091,ENSMUSG00000044294,Krt84,16680,1.644818636,1.289336029,10.19563444,0.001407735,0.030274568,Up
15294,ENSMUSG00000052512,Nav2,78286,1.534142782,4.64823777,10.19106928,0.001411225,0.030274568,Up
14074,ENSMUSG00000047787,Flrt1,396184,-1.533468603,4.599227433,10.19003623,0.001412015,0.030274568,Down
16335,ENSMUSG00000057315,Arhgap24,231532,1.61678067,1.619879953,10.15998162,0.001435221,0.030697284,Up
30766,ENSMUSG00000092586,Ly6g6c,68468,1.653318076,1.15647565,10.15823054,0.001436584,0.030697284,Up
6374,ENSMUSG00000027913,Crct1,74175,-1.5454345,3.307493512,10.13475513,0.001454996,0.031038273,Down
7444,ENSMUSG00000029673,Auts2,319974,1.529360783,4.373003856,10.0989588,0.001483531,0.03159372,Up
39773,ENSMUSG00000105096,Gbp10,626578,-1.639514354,1.099968799,10.07877471,0.00149987,0.031888001,Down
636,ENSMUSG00000003824,Syce2,71846,-1.550651223,2.773094493,10.046828,0.001526105,0.032366893,Down
33216,ENSMUSG00000097462,9530026P05Rik,330385,1.641938278,1.172123062,10.0451295,0.001527513,0.032366893,Up
7628,ENSMUSG00000030088,Aldh1l1,107747,1.525724104,4.257424384,10.03815565,0.001533306,0.032435329,Up
1397,ENSMUSG00000012428,Steap4,117167,1.510667738,7.261224396,10.01898771,0.001549346,0.032648122,Up
10167,ENSMUSG00000035878,Hykk,235386,1.747831427,0.302595894,10.01855579,0.001549709,0.032648122,Up
15857,ENSMUSG00000055093,Rps27a-ps3,667035,1.650379191,1.05627434,10.01689379,0.001551108,0.032648122,Up
14256,ENSMUSG00000048442,Smim5,66528,1.700429795,0.596886797,9.983779278,0.001579252,0.033185282,Up
34381,ENSMUSG00000099241,Gvin-ps2,100417829,1.556721559,2.462338736,9.951037631,0.001607588,0.033724682,Up
12508,ENSMUSG00000042271,Nxt2,237082,1.537052339,3.100993442,9.943509028,0.001614176,0.033806822,Up
10136,ENSMUSG00000035783,Acta2,11475,1.572787896,2.002066986,9.904241764,0.001648983,0.034478726,Up
8022,ENSMUSG00000030790,Adm,11535,-1.530658729,3.080504048,9.893668215,0.001658484,0.034595973,Down
13679,ENSMUSG00000046402,Rbp1,19659,1.517749909,3.944976888,9.89192105,0.00166006,0.034595973,Up
1894,ENSMUSG00000018211,Wfdc15b,192201,1.518556311,3.6794886,9.854336907,0.001694319,0.035251859,Up
14903,ENSMUSG00000050914,Ankrd37,654824,-1.516744089,3.552529579,9.83089906,0.001716044,0.035645259,Down
5421,ENSMUSG00000026220,Slc16a14,71781,1.561605689,2.097127058,9.826592698,0.001720067,0.03567024,Up
5531,ENSMUSG00000026420,Il24,93672,-1.516199471,3.349830476,9.781814752,0.001762463,0.036489614,Down
37950,ENSMUSG00000103088,Pcdhgb6,93703,1.577118322,1.725098052,9.774557097,0.001769433,0.036522863,Up
11549,ENSMUSG00000039497,Dse,212898,1.713892697,0.36697191,9.774131451,0.001769843,0.036522863,Up
3106,ENSMUSG00000021457,Syk,20963,1.54301746,2.416574287,9.76548382,0.001778187,0.036635289,Up
8249,ENSMUSG00000031266,Gla,11605,-1.494613553,5.285856901,9.753577829,0.00178974,0.036813361,Down
19121,ENSMUSG00000068231,Vmn1r43,113847,1.667505192,0.678724475,9.744392753,0.001798705,0.036937701,Up
1589,ENSMUSG00000015354,Pcolce2,76477,-1.574719112,1.585670935,9.738181371,0.001804794,0.037002659,Down
13104,ENSMUSG00000044337,Ackr3,12778,1.628991846,1.01105608,9.728587524,0.001814239,0.037136113,Up
5736,ENSMUSG00000026773,Pfkfb3,170768,-1.485960409,6.849073842,9.701822949,0.001840853,0.037559498,Down
368,ENSMUSG00000002057,Foxn1,15218,-1.502796055,3.794695845,9.701815263,0.001840861,0.037559498,Down
7824,ENSMUSG00000030428,Ttyh1,57776,1.670947421,0.61121042,9.689072021,0.001853671,0.037718152,Up
19503,ENSMUSG00000070315,4930581F22Rik,78934,1.538161193,2.374209143,9.688151677,0.0018546,0.037718152,Up
12981,ENSMUSG00000043953,Ccrl2,54199,-1.532555492,2.3775895,9.677059377,0.00186583,0.037885636,Down
13174,ENSMUSG00000044566,Cage1,71213,1.665352179,0.642504284,9.672450264,0.001870517,0.037919932,Up
30360,ENSMUSG00000091971,Hspa1a,193740,1.495911254,4.172246853,9.655296484,0.001888064,0.038214419,Up
3723,ENSMUSG00000022508,Bcl6,12053,1.487635469,4.937088545,9.634111079,0.001909966,0.038595962,Up
5518,ENSMUSG00000026399,Cd55,13136,1.491715285,4.366334092,9.628268714,0.001916051,0.038657177,Up
20934,ENSMUSG00000075254,Heg1,77446,1.493596794,4.118665552,9.619319892,0.00192541,0.038784139,Up
6362,ENSMUSG00000027890,Gstm4,14865,1.557906645,1.800296708,9.602595549,0.001943025,0.039076741,Up
12912,ENSMUSG00000043664,Tmem221,434325,-1.579183513,1.316502482,9.583945556,0.001962861,0.03941301,Down
17467,ENSMUSG00000062488,Ifit3b,667370,-1.476425917,6.389324408,9.572009165,0.001975664,0.039607219,Down
20465,ENSMUSG00000074151,Nlrc5,434341,-1.494479124,3.603251083,9.566395918,0.001981715,0.03962273,Down
5672,ENSMUSG00000026657,Frmd4a,209630,1.512943926,2.830035136,9.565480823,0.001982703,0.03962273,Up
6538,ENSMUSG00000028186,Uox,22262,1.472812364,7.645103004,9.548372229,0.002001268,0.039930665,Up
5023,ENSMUSG00000025408,Ddit3,13198,-1.48390595,4.324414769,9.540901263,0.00200943,0.040030387,Down
12063,ENSMUSG00000040841,Six5,20475,1.532304208,2.19156184,9.530523151,0.002020825,0.040194084,Up
16420,ENSMUSG00000057719,Sh3rf2,269016,-1.491675949,3.522951217,9.517051288,0.002035714,0.0403686,Down
10716,ENSMUSG00000037455,Slc18b1,76306,1.557803685,1.676427378,9.516810313,0.002035982,0.0403686,Up
22429,ENSMUSG00000079547,H2-DMb1,14999,-1.480725964,3.880454454,9.444207357,0.00211817,0.041932478,Down
8986,ENSMUSG00000032487,Ptgs2,19225,-1.467997743,5.632012268,9.440759672,0.002122156,0.041945735,Down
12001,ENSMUSG00000040690,Col16a1,107581,1.483476288,3.734270019,9.434175917,0.002129788,0.042013149,Up
10915,ENSMUSG00000037995,Igsf9,93842,1.4688825,5.369696157,9.432092328,0.002132209,0.042013149,Up
10559,ENSMUSG00000037033,Clca3b,229927,1.460930362,9.364009861,9.41313166,0.00215437,0.042383788,Up
12447,ENSMUSG00000042099,Kank3,80880,1.470887832,4.667123632,9.403992985,0.002165134,0.042529418,Up
9575,ENSMUSG00000034177,Rnf43,207742,1.470236458,4.647093909,9.394108891,0.002176838,0.042693021,Up
22404,ENSMUSG00000079497,Gm13420,433415,1.576522567,1.238527335,9.374824565,0.002199858,0.043077707,Up
5901,ENSMUSG00000027068,Dhrs9,241452,1.463363422,5.42978779,9.367621627,0.002208519,0.043150946,Up
16070,ENSMUSG00000056116,H2-T22,15039,-1.459659602,6.454292932,9.366044504,0.00221042,0.043150946,Down
11780,ENSMUSG00000040136,Abcc8,20927,1.510736661,2.333983353,9.345347691,0.002235522,0.043573741,Up
11853,ENSMUSG00000040328,Or2v1,18356,-1.551403888,1.399863875,9.333595073,0.002249905,0.043786616,Down
4088,ENSMUSG00000023206,Il15ra,16169,1.516362452,2.145947855,9.320723153,0.002265766,0.044027548,Up
18947,ENSMUSG00000067297,Ifit1bl2,112419,-1.531979253,1.659895631,9.293488547,0.002299698,0.044602324,Down
6954,ENSMUSG00000028885,Smpdl3b,100340,-1.455723052,5.668325163,9.291340148,0.002302397,0.044602324,Down
13276,ENSMUSG00000044948,Cfap43,100048534,1.566930229,1.253377925,9.281869759,0.002314331,0.044764959,Up
8340,ENSMUSG00000031425,Plp1,18823,1.557480187,1.351346096,9.261974539,0.002339606,0.045184766,Up
37038,ENSMUSG00000102101,Zbtb11os1,66391,1.617017216,0.704046187,9.239725031,0.002368205,0.045657179,Up
509,ENSMUSG00000002980,Bcam,57278,1.446809281,8.965522863,9.237344506,0.002371286,0.045657179,Up
9609,ENSMUSG00000034265,Zdhhc14,224454,1.488051636,2.622469328,9.196616659,0.002424629,0.0466133,Up
13384,ENSMUSG00000045312,Lhfpl2,218454,-1.450549422,4.929254358,9.18682343,0.002437636,0.046792248,Down
8616,ENSMUSG00000031875,Cmtm3,68119,1.649638554,0.40356513,9.170540757,0.002459419,0.047138862,Up
6086,ENSMUSG00000027399,Il1a,16175,-1.442239285,7.194254873,9.166691334,0.002464598,0.047166654,Down
33415,ENSMUSG00000097768,2310043M15Rik,102633000,1.449589406,4.451765887,9.123362831,0.002523656,0.048223946,Up
9529,ENSMUSG00000034059,Ypel4,241525,1.567931534,1.068474785,9.119028388,0.002529643,0.048265432,Up
1414,ENSMUSG00000013089,Etv5,104156,1.443205266,5.048873267,9.097911166,0.002559016,0.048752334,Up
22214,ENSMUSG00000079017,Ifi27l2a,76933,-1.468565825,2.857147645,9.08191183,0.0025815,0.049106736,Down
16137,ENSMUSG00000056413,Adap1,231821,-1.434709873,5.85402291,9.042572501,0.002637642,0.050099361,ns
3784,ENSMUSG00000022602,Arc,11838,1.661399277,0.238092957,9.035551858,0.002647791,0.050216728,ns
12932,ENSMUSG00000043760,Pkhd1,241035,1.444841802,4.10466703,9.025097089,0.002662978,0.050429146,ns
29255,ENSMUSG00000089736,Tgfbr3l,100044509,1.526826761,1.475321244,9.019771616,0.002670748,0.050500684,ns
12495,ENSMUSG00000042244,Pglyrp3,242100,-1.558820144,0.920321333,9.000211169,0.002699484,0.050967872,ns
16416,ENSMUSG00000057706,Mex3b,108797,1.485637759,2.19033354,8.987348596,0.002718552,0.051251383,ns
4220,ENSMUSG00000023982,Guca1a,14913,-1.591366416,0.580657073,8.978959294,0.002731062,0.051410608,ns
16754,ENSMUSG00000059277,R74862,97423,1.643005073,0.314225174,8.970513978,0.002743714,0.051572039,ns
2612,ENSMUSG00000020607,Lratd1,105005,1.435867927,4.389479081,8.951761707,0.002772021,0.052026809,ns
9771,ENSMUSG00000034708,Grn,14824,-1.42199487,9.808273278,8.938103523,0.002792825,0.052339616,ns
9572,ENSMUSG00000034171,Faah,14073,1.430580114,4.853818685,8.931302731,0.002803243,0.052457142,ns
654,ENSMUSG00000003992,Ssbp2,66970,1.515816918,1.510088862,8.923406026,0.00281539,0.052606616,ns
34072,ENSMUSG00000098678,Mroh6,223645,-1.638800474,0.169221079,8.912684259,0.002831967,0.052838321,ns
841,ENSMUSG00000005413,Hmox1,15368,-1.424937637,5.363672503,8.903293821,0.002846567,0.053032512,ns
4841,ENSMUSG00000025068,Gsto1,14873,1.41814035,12.14787883,8.894165055,0.002860834,0.053201943,ns
9740,ENSMUSG00000034634,Ly6d,17068,1.648412175,0.228481986,8.892098956,0.002864073,0.053201943,ns
20036,ENSMUSG00000072770,Acrbp,54137,1.476358084,2.162461092,8.867874428,0.002902329,0.053821973,ns
5621,ENSMUSG00000026579,F5,14067,1.437635987,3.628146278,8.865591276,0.002905961,0.053821973,ns
337,ENSMUSG00000001918,Slc1a5,20514,1.415508923,8.374799506,8.853277658,0.002925631,0.054107056,ns
134,ENSMUSG00000000782,Tcf7,21414,1.50227315,1.619317097,8.849755574,0.002931281,0.054132424,ns
22166,ENSMUSG00000078922,Tgtp1,21822,-1.419328502,5.402317534,8.837906956,0.002950373,0.054405569,ns
14066,ENSMUSG00000047751,Utf1,22286,-1.475910618,1.961159941,8.8232078,0.002974234,0.054736739,ns
9284,ENSMUSG00000033256,Shf,435684,1.655976583,0.138346042,8.821519707,0.002976986,0.054736739,ns
7993,ENSMUSG00000030747,Dgat2,67800,-1.411575135,8.514376203,8.807523369,0.00299991,0.055078166,ns
5521,ENSMUSG00000026405,C4bp,12269,1.437412617,3.243054006,8.784469109,0.00303806,0.055697761,ns
17674,ENSMUSG00000063412,Gm10131,100042777,1.525137048,1.201735571,8.779261557,0.003046745,0.055776159,ns
10606,ENSMUSG00000037169,Mycn,18109,1.414133377,5.38471243,8.769034948,0.003063875,0.056008701,ns
553,ENSMUSG00000003271,Sult2b1,54200,-1.468324305,2.008161304,8.759945336,0.003079183,0.056157542,ns
7985,ENSMUSG00000030735,Gm9755,100041265,1.515950925,1.294677955,8.758230311,0.00308208,0.056157542,ns
19677,ENSMUSG00000070867,Trabd2b,666048,1.561101618,0.791690383,8.75630491,0.003085335,0.056157542,ns
6160,ENSMUSG00000027514,Zbp1,58203,-1.405821401,6.618173206,8.716393959,0.003153612,0.057317803,ns
137,ENSMUSG00000000792,Slc5a5,114479,-1.454886039,2.244400572,8.711670782,0.003161793,0.057384047,ns
172,ENSMUSG00000001020,S100a4,20198,1.571662148,0.655102235,8.707798093,0.003168517,0.057423695,ns
12765,ENSMUSG00000043065,Spice1,212514,1.41724868,4.104262262,8.697169529,0.003187046,0.057676862,ns
3976,ENSMUSG00000022946,Dop1b,70028,1.406755465,5.486646729,8.68638877,0.003205952,0.057936133,ns
3524,ENSMUSG00000022186,Oxct1,67041,1.403852334,6.044185639,8.67458681,0.00322678,0.058229341,ns
9499,ENSMUSG00000033965,Slc16a2,20502,1.418002464,3.73473742,8.652823475,0.003265549,0.058804705,ns
12806,ENSMUSG00000043252,Tmem64,100201,1.403807093,5.488764261,8.651478288,0.003267961,0.058804705,ns
6323,ENSMUSG00000027829,Ccnl1,56706,1.403091263,5.414798409,8.63928577,0.003289904,0.059115459,ns
3494,ENSMUSG00000022126,Acod1,16365,1.408801912,4.41535141,8.633079926,0.00330113,0.059233039,ns
10074,ENSMUSG00000035578,Iqcg,69707,1.4364352,2.683474412,8.618496096,0.003327665,0.059547208,ns
10730,ENSMUSG00000037490,Slc2a12,353169,1.554281675,0.731696615,8.61828336,0.003328053,0.059547208,ns
15180,ENSMUSG00000051989,Smim11,68936,1.418868698,3.407795082,8.603706371,0.003354796,0.059940912,ns
2235,ENSMUSG00000019970,Sgk1,20393,1.39617152,5.317872981,8.55234398,0.003450776,0.061533095,ns
16053,ENSMUSG00000056025,Clca3a1,12722,1.420614542,3.081958938,8.550835832,0.003453636,0.061533095,ns
10888,ENSMUSG00000037938,Chchd5,66170,1.447151337,2.183901034,8.54710686,0.003460718,0.061572552,ns
6052,ENSMUSG00000027347,Rasgrp1,19419,1.480306816,1.519185439,8.539636301,0.003474951,0.06173894,ns
6457,ENSMUSG00000028048,Gba,14466,-1.389596237,6.951427802,8.529612829,0.00349414,0.06199281,ns
11280,ENSMUSG00000038793,Lefty1,13590,-1.560942759,0.467001534,8.526705211,0.003499727,0.062004965,ns
7491,ENSMUSG00000029761,Cald1,109624,1.398605357,4.494971163,8.52109459,0.003510533,0.062109426,ns
234,ENSMUSG00000001333,Sync,68828,-1.431779891,2.399996136,8.508080381,0.003535729,0.062424155,ns
10991,ENSMUSG00000038156,Spon1,233744,1.626855061,0.116880789,8.506813429,0.003538191,0.062424155,ns
2163,ENSMUSG00000019831,Wasf1,83767,1.465385519,1.671840572,8.476779381,0.003597084,0.063374802,ns
4057,ENSMUSG00000023084,Lrrc71,74485,1.407529343,3.383677132,8.467520086,0.00361544,0.063460915,ns
14765,ENSMUSG00000050370,Ch25h,12642,-1.475490866,1.369100886,8.467138143,0.003616199,0.063460915,ns
49860,ENSMUSG00000115902,D730005E14Rik,109361,1.3906324,4.980449035,8.46672468,0.003617021,0.063460915,ns
6487,ENSMUSG00000028100,Nudt17,78373,-1.502263907,0.989455195,8.457324771,0.003635762,0.063701375,ns
5424,ENSMUSG00000026224,4933407L21Rik,71141,1.601283063,0.239331092,8.448606214,0.003653233,0.063918947,ns
4155,ENSMUSG00000023827,Agpat4,68262,-1.398978971,3.700101498,8.443460191,0.003663585,0.064011534,ns
10303,ENSMUSG00000036306,Lzts1,211134,-1.517421575,0.795246052,8.43625114,0.003678137,0.064177154,ns
1486,ENSMUSG00000014361,Mertk,17289,1.551358042,0.592898426,8.426721317,0.003697464,0.064425518,ns
14596,ENSMUSG00000049734,Trex1,22040,-1.408063124,2.900752909,8.390117538,0.003772665,0.065645411,ns
12716,ENSMUSG00000042842,Serpinb6b,20708,-1.45542075,1.557332464,8.370910349,0.003812746,0.066251696,ns
12656,ENSMUSG00000042675,Ypel3,66090,1.380369764,5.317133371,8.3668039,0.003821371,0.066310485,ns
19156,ENSMUSG00000068396,Rpl34-ps1,619547,1.535348504,0.676494695,8.362358319,0.003830731,0.066381844,ns
19324,ENSMUSG00000069307,H2bc23,665596,1.614209229,0.098163573,8.357068673,0.003841898,0.066484287,ns
4270,ENSMUSG00000024066,Xdh,22436,1.375462409,6.54632011,8.353225505,0.003850033,0.066534035,ns
7817,ENSMUSG00000030411,Nova2,384569,1.610358028,0.104818553,8.331103419,0.003897198,0.067257235,ns
5590,ENSMUSG00000026525,Opn3,13603,-1.411896191,2.525042473,8.325482293,0.003909276,0.067313175,ns
6481,ENSMUSG00000028088,Fmo5,14263,1.59600943,0.189920564,8.324643306,0.003911082,0.067313175,ns
11450,ENSMUSG00000039217,Il18,16173,-1.503076603,0.809130557,8.300099731,0.00396429,0.068136237,ns
10950,ENSMUSG00000038060,Dlec1,320256,1.490459106,1.06063354,8.287089976,0.003992792,0.068533002,ns
17826,ENSMUSG00000064065,Ipcef1,320495,1.491779168,1.037246429,8.279929602,0.004008568,0.068710554,ns
4933,ENSMUSG00000025227,Mfsd13a,75146,-1.371059567,5.468152736,8.270881409,0.004028594,0.068960378,ns
7968,ENSMUSG00000030708,Dnajb13,69387,1.46574428,1.344325875,8.257597745,0.004058179,0.069372931,ns
4482,ENSMUSG00000024424,Ttc39c,72747,-1.371623164,4.73951629,8.236272924,0.004106136,0.07009801,ns
2193,ENSMUSG00000019876,Pkib,18768,-1.451339405,1.404949113,8.22984615,0.004120702,0.070251865,ns
14634,ENSMUSG00000049892,Rasd1,19416,1.371422229,4.710513738,8.223400031,0.004135365,0.070406952,ns
15537,ENSMUSG00000053646,Plxnb1,235611,1.362019797,7.389336925,8.210564942,0.004164718,0.070811406,ns
1152,ENSMUSG00000008153,Clstn3,232370,1.598603613,0.096160664,8.206876428,0.004173193,0.070860255,ns
1721,ENSMUSG00000016493,Cd46,17221,1.431093212,1.842502389,8.200994133,0.004186744,0.070995061,ns
5682,ENSMUSG00000026674,Ddr2,18214,-1.370623425,4.321009303,8.190122634,0.004211908,0.071326147,ns
11122,ENSMUSG00000038456,Dennd2a,209773,1.575067285,0.232989802,8.187272672,0.00421853,0.07134278,ns
7175,ENSMUSG00000029231,Pdgfra,18595,-1.505085461,0.659867984,8.172121521,0.004253912,0.071845113,ns
20655,ENSMUSG00000074653,Lrrc31,320352,1.375715063,3.694776398,8.157737599,0.004287783,0.0723206,ns
7427,ENSMUSG00000029648,Flt1,14254,1.388677168,2.808674347,8.115488168,0.004388865,0.073926958,ns
