,gene_id,gene_name,EntrezGene,logFC,logCPM,LR,PValue,FDR,topDE
14741,ENSMUSG00000050272,Dscam,13508,3.707173609,3.652002925,48.2537813,3.74E-12,8.77E-10,Up
22182,ENSMUSG00000078952,Lncenc1,100039691,-3.658058154,4.032228433,48.07367228,4.11E-12,9.44E-10,Down
19738,ENSMUSG00000071112,Spx,319552,-3.880567966,2.039120845,47.71503943,4.93E-12,1.11E-09,Down
14686,ENSMUSG00000050092,Sprr2b,20756,-3.601026797,4.808941424,47.5396651,5.39E-12,1.20E-09,Down
5711,ENSMUSG00000026728,Vim,22352,3.647000351,3.788058986,47.22867317,6.32E-12,1.38E-09,Up
13714,ENSMUSG00000046532,Ar,11835,3.856041618,2.14511603,46.77636259,7.96E-12,1.71E-09,Up
7516,ENSMUSG00000029811,Aoc1,76507,3.512209071,8.747474358,46.4736502,9.29E-12,1.96E-09,Up
2294,ENSMUSG00000020077,Srgn,19073,-3.533058197,5.339205417,46.35359873,9.87E-12,2.05E-09,Down
6608,ENSMUSG00000028327,Stra6l,74152,3.811183319,2.192495443,46.17877251,1.08E-11,2.20E-09,Up
9531,ENSMUSG00000034064,Poglut1,224143,3.605556457,3.54350727,45.97973103,1.19E-11,2.40E-09,Up
9593,ENSMUSG00000034220,Gpc1,14733,3.723270472,2.500779066,45.72302314,1.36E-11,2.69E-09,Up
20784,ENSMUSG00000075012,Fjx1,14221,3.680449617,2.380920101,44.52201794,2.52E-11,4.89E-09,Up
3415,ENSMUSG00000021998,Lcp1,18826,3.530391573,3.518186697,44.40824509,2.67E-11,5.11E-09,Up
8472,ENSMUSG00000031635,Anxa10,26359,3.771774013,1.922912727,44.31481947,2.80E-11,5.28E-09,Up
8447,ENSMUSG00000031594,Fgl1,234199,3.72707,2.071263187,44.18454048,2.99E-11,5.56E-09,Up
11091,ENSMUSG00000038370,Pcp4l1,66425,3.42532497,5.360553863,43.93918229,3.39E-11,6.21E-09,Up
49493,ENSMUSG00000115503,Gm6392,623094,3.60453408,2.620430064,43.86729307,3.51E-11,6.35E-09,Up
7967,ENSMUSG00000030707,Coro1a,12721,3.59269668,2.666483183,43.77459426,3.68E-11,6.56E-09,Up
11795,ENSMUSG00000040170,Fmo2,55990,3.512953347,3.269217679,43.61929861,3.99E-11,7.01E-09,Up
17025,ENSMUSG00000060459,Kng2,385643,3.415437231,5.018098151,43.55014481,4.13E-11,7.16E-09,Up
12139,ENSMUSG00000041119,Pde9a,18585,3.55026797,2.756424707,43.20916803,4.92E-11,8.41E-09,Up
479,ENSMUSG00000002799,Jag2,16450,3.555855798,2.539542512,42.71731668,6.32E-11,1.07E-08,Up
6696,ENSMUSG00000028464,Tpm2,22004,3.492349388,2.775911448,42.15152722,8.45E-11,1.41E-08,Up
2597,ENSMUSG00000020581,Agr2,23795,3.376499646,3.881046126,41.78085749,1.02E-10,1.68E-08,Up
19972,ENSMUSG00000072572,Slc39a2,214922,-3.384192122,3.497532506,41.72119784,1.05E-10,1.71E-08,Down
2281,ENSMUSG00000020057,Dram1,71712,3.31701805,3.323886883,39.83069508,2.77E-10,4.43E-08,Up
4737,ENSMUSG00000024899,Papss2,23972,-3.207531381,6.755059651,39.70972161,2.95E-10,4.66E-08,Down
3332,ENSMUSG00000021850,ccdc198,67082,3.272552081,3.89401447,39.68446559,2.98E-10,4.66E-08,Up
