## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT Plus_cre_p53mut.sorted.bam --OUTPUT Plus_cre_p53mut.markdup.sorted.bam --METRICS_FILE Plus_cre_p53mut.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE Mus_musculus.GRCm39.dna_sm.primary_assembly.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 20 03:54:36 GMT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	20	60675806	10934572	0	19	19762760	9071195	0.325711	106667238

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
133.0	0	17	0	12
134.0	0	14	0	5
135.0	0	16	0	19
136.0	0	14	0	11
137.0	0	10	0	10
138.0	0	11	0	9
139.0	0	13	0	11
140.0	0	14	0	6
141.0	0	15	1	11
142.0	0	17	1	8
143.0	0	15	0	13
144.0	0	14	0	6
145.0	0	12	0	6
146.0	0	13	0	12
147.0	0	11	0	10
148.0	0	6	0	7
149.0	0	15	0	11
150.0	0	10	0	7
151.0	0	9	0	9
152.0	0	6	0	9
153.0	0	9	0	11
154.0	0	10	0	8
155.0	0	10	0	10
156.0	0	7	0	5
157.0	0	9	0	6
158.0	0	11	0	4
159.0	0	10	0	15
160.0	0	8	0	6
161.0	0	10	0	9
162.0	0	10	0	4
163.0	0	7	0	8
164.0	0	8	0	7
165.0	0	7	0	5
166.0	0	8	0	4
167.0	0	8	0	2
168.0	0	14	0	8
169.0	0	12	0	4
170.0	0	3	0	7
171.0	0	7	0	4
172.0	0	6	0	5
173.0	0	7	0	5
174.0	0	8	0	6
175.0	0	6	0	1
176.0	0	3	0	1
177.0	0	10	0	7
178.0	0	5	0	8
179.0	0	3	0	2
180.0	0	5	0	2
181.0	0	6	0	2
182.0	0	3	0	9
183.0	0	7	0	5
184.0	0	3	0	5
185.0	0	4	0	6
186.0	0	8	0	2
187.0	0	3	0	0
188.0	0	4	0	4
189.0	0	4	0	4
190.0	0	5	0	6
191.0	0	4	0	2
192.0	0	8	0	3
193.0	0	4	0	3
194.0	0	3	0	4
195.0	0	3	0	3
196.0	0	1	0	0
197.0	0	6	0	5
198.0	0	3	0	4
199.0	0	3	0	1
200.0	0	7	0	1
201.0	0	3	0	3
202.0	0	3	0	4
203.0	0	3	0	5
204.0	0	0	0	1
205.0	0	2	0	3
206.0	0	3	0	3
207.0	0	4	0	3
208.0	0	2	0	1
209.0	0	3	0	3
210.0	0	4	0	3
211.0	0	3	0	2
212.0	0	7	0	1
213.0	0	5	0	6
214.0	0	2	0	4
215.0	0	5	0	5
216.0	0	4	0	0
217.0	0	4	0	1
218.0	0	1	0	5
219.0	0	4	0	1
220.0	0	4	0	0
221.0	0	4	0	6
222.0	0	3	0	2
223.0	0	2	0	1
224.0	0	2	0	2
225.0	0	1	0	3
226.0	0	1	0	1
227.0	0	3	0	1
228.0	0	4	0	2
229.0	0	5	0	3
230.0	0	3	0	2
231.0	0	3	0	2
232.0	0	8	0	1
233.0	0	4	0	2
234.0	0	4	0	0
235.0	0	1	0	3
236.0	0	0	0	1
237.0	0	3	0	3
238.0	0	2	0	1
239.0	0	1	0	0
240.0	0	3	0	3
241.0	0	3	1	2
242.0	0	2	0	3
243.0	0	0	0	2
245.0	0	4	0	1
246.0	0	2	0	2
247.0	0	3	0	1
248.0	0	1	0	0
249.0	0	1	0	3
250.0	0	1	0	1
251.0	0	0	0	1
252.0	0	1	0	0
253.0	0	1	0	0
254.0	0	1	0	3
255.0	0	3	0	2
256.0	0	2	0	1
257.0	0	3	0	1
258.0	0	0	0	1
259.0	0	1	0	1
260.0	0	0	0	1
262.0	0	3	0	2
263.0	0	2	0	5
264.0	0	1	0	2
265.0	0	2	0	3
266.0	0	1	0	0
267.0	0	2	0	1
268.0	0	0	0	1
269.0	0	2	0	0
270.0	0	1	0	2
271.0	0	4	0	4
272.0	0	0	0	1
273.0	0	2	0	4
274.0	0	4	0	2
275.0	0	4	0	3
277.0	0	2	0	0
278.0	0	1	0	0
279.0	0	1	0	0
280.0	0	1	0	1
281.0	0	4	0	3
282.0	0	2	0	1
283.0	0	1	0	1
284.0	0	0	0	1
285.0	0	0	0	1
286.0	0	1	0	1
287.0	0	1	0	0
288.0	0	2	0	1
289.0	0	1	0	0
290.0	0	2	0	3
291.0	0	0	0	1
292.0	0	3	0	1
293.0	0	1	0	1
294.0	0	3	0	2
295.0	0	3	0	0
296.0	0	2	0	1
298.0	0	1	0	2
299.0	0	1	0	0
300.0	0	1	0	1
301.0	0	2	0	2
302.0	0	1	0	0
304.0	0	1	0	1
306.0	0	2	0	1
308.0	0	2	0	0
309.0	0	0	0	1
310.0	0	2	0	2
311.0	0	2	0	2
313.0	0	1	0	1
314.0	0	3	0	2
315.0	0	1	0	0
316.0	0	1	0	0
318.0	0	1	0	1
319.0	0	1	0	0
320.0	0	1	0	0
321.0	0	1	0	0
322.0	0	1	0	0
325.0	0	1	0	0
327.0	0	0	0	1
329.0	0	0	0	1
330.0	0	0	0	1
334.0	0	0	0	1
335.0	0	1	0	0
336.0	0	1	0	3
337.0	0	0	0	1
338.0	0	0	0	1
339.0	0	0	0	1
341.0	0	1	0	1
342.0	0	2	0	2
345.0	0	0	0	2
346.0	0	2	0	0
347.0	0	3	0	0
348.0	0	1	0	0
349.0	0	1	0	0
350.0	0	1	0	1
351.0	0	2	0	0
354.0	0	1	0	1
356.0	0	1	0	1
358.0	0	2	0	0
359.0	0	1	0	0
360.0	0	1	0	0
361.0	0	1	0	1
362.0	0	1	0	1
364.0	0	1	0	1
365.0	0	0	0	1
366.0	0	0	0	1
369.0	0	1	0	1
370.0	0	0	0	1
372.0	0	2	0	1
373.0	0	0	0	1
374.0	0	0	0	1
375.0	0	1	0	0
378.0	0	1	0	1
379.0	0	0	0	1
381.0	0	2	0	0
382.0	0	1	0	1
384.0	0	2	0	0
388.0	0	0	0	1
389.0	0	2	0	0
390.0	0	0	0	1
391.0	0	1	0	1
393.0	0	0	0	1
394.0	0	0	1	0
395.0	0	1	0	0
396.0	0	1	0	0
397.0	0	0	0	1
399.0	0	1	0	0
400.0	0	1	0	0
401.0	0	1	0	0
403.0	0	1	0	0
405.0	0	0	0	1
408.0	0	1	0	0
410.0	0	1	0	0
411.0	0	2	0	0
412.0	0	1	0	1
414.0	0	0	0	1
415.0	0	3	0	0
419.0	0	2	0	0
420.0	0	0	0	1
429.0	0	0	0	1
430.0	0	1	0	0
432.0	0	1	0	0
438.0	0	0	0	1
443.0	0	1	0	0
444.0	0	0	0	1
445.0	0	0	0	1
446.0	0	1	0	1
456.0	0	1	0	0
465.0	0	0	0	1
471.0	0	2	0	0
487.0	0	0	0	1
489.0	0	1	0	0
494.0	0	0	0	1
498.0	0	0	0	1
502.0	0	3	0	0
504.0	0	1	0	0
506.0	0	0	0	1
509.0	0	0	0	2
512.0	0	0	0	1
514.0	0	1	0	0
517.0	0	1	0	0
523.0	0	0	0	1
530.0	0	1	0	1
537.0	0	1	0	0
540.0	0	1	0	0
543.0	0	0	0	1
545.0	0	1	0	0
547.0	0	0	0	1
